Credit Name,State,sale_year,Underlying Moodys Rating,Fiscal Year End,Cash & Short-Term Investments (GF),Deferred Rev (GF),Total Liabilities (GF),Unassigned Fund Balance (GF),Total Fund Balance (GF),General Fund Rev,General Fund Exp,Total Taxable Assessed Value,Total Assessed Value,Current Debt Service (all Gov funds),Current Portion GO Debt (Gov),Current Portion Long-Term Debt (Gov),Short-Term Debt (Gov),Long-Term Debt (Gov),"Invested in Capital Assets, net of related debt (Gov)",Total Restricted Net Assets (Gov),Unrestricted Net Assets (Gov),Total Net Assets (Gov),Operating Grants & Contributions (Gov),Total Rev (Gov),Total Exp (Gov),Revenue Over Expense (Gov),Change in Net Assets (Gov),Total Pension Liability (EOY),Total Pension Expense,Population,Total Primary Government Expenses,moodys_ratings_num,short_run_pos,liquidity,net_assets_prev_year,net_asset_growth,operating_margin,own_source_rev,debt_burden,coverage,net_invest_prev_year,cap_asset_condition
Cedar Park,TX,2006,A1,2017-09-30,22445,0.0,5107,20611.0,20948,43787.0,45495.0,7628749.0,7628749.0,21894.0,12750.0,12905.0,0.0,184939.0,195201.0,33482.0,-3315.0,225368.0,3855.0,69560.0,67538.0,2022.0,26641.0,76272.0,4688.0,72600,97537.0,8,0.47071048484710076,4.394948110436656,258909.0,0.10289715691613656,-0.02906843013225992,0.05541978148361127,2.5473691460055097,0.3241730581302378,229635.0,0.8500489907897315
Coppell,TX,2006,Aa3,2015-09-30,61204,0.0,9036,27675.0,55589,50518.0,48711.0,5616353.0,6961134.0,11379.0,6160.0,7094.0,0.0,94302.0,174154.0,36625.0,43774.0,254553.0,59.0,78854.0,76449.0,2405.0,11682.0,123190.0,3773.0,40783,92399.0,9,0.547824537788511,6.773351040283311,267968.0,0.043594757582994983,-0.0304994039617521,0.0007482182260887209,2.312286982321065,0.148844327590943,206573.0,0.8430627429528544
Coppell,TX,2006,Aa3,2019-09-30,77177,472.0,9024,56101.0,75921,70572.0,57082.0,7597798.0,9610234.0,11911.0,6575.0,8100.0,0.0,109247.0,197515.0,47019.0,83316.0,327850.0,417.0,108973.0,84986.0,23987.0,24431.0,165106.0,7191.0,41718,103301.0,9,0.7949470044776965,9.024438727782975,254553.0,0.09597608356609429,-0.2201187450102319,0.0038266359556954474,2.6187017594323794,0.14015249570517496,174154.0,1.1341398991697005
Coppell,TX,2006,Aa3,2020-09-30,91877,1867.0,12962,64339.0,87099,70778.0,58213.0,8170767.0,10378789.0,11964.0,6655.0,8291.0,0.0,116597.0,214502.0,42970.0,98067.0,355539.0,1705.0,108211.0,81023.0,27188.0,27688.0,177535.0,6003.0,41390,99260.0,9,0.9090254033739298,8.280937359170798,327850.0,0.08445325606222358,-0.2512498729334356,0.01575625398526952,2.8170330997825563,0.14766177505152858,197515.0,1.0860035946636963
Coppell,TX,2006,Aa3,2017-09-30,59972,456.0,8580,37313.0,57508,59709.0,53830.0,6664501.0,8463242.0,11019.0,6020.0,7102.0,0.0,91231.0,193977.0,36260.0,56319.0,286556.0,449.0,95406.0,80405.0,15001.0,18588.0,143336.0,6248.0,41679,98911.0,9,0.6249141670434942,7.382077794190054,355539.0,0.052281184342645955,-0.15723329769616168,0.004706202964174161,2.1888960867583194,0.1370437161868043,214502.0,0.9043132464965362
Coppell,TX,2006,Aa3,2018-09-30,66098,466.0,9206,44917.0,63555,64312.0,57794.0,7015047.0,8720649.0,10159.0,7160.0,7922.0,0.0,117347.0,195598.0,39241.0,68580.0,303419.0,743.0,98422.0,80813.0,17609.0,18299.0,154528.0,4930.0,41957,99839.0,9,0.698423311357134,7.562700228832952,286556.0,0.06385837323245717,-0.1789132511023958,0.007549125195586353,2.7968396215172677,0.12570997240542983,193977.0,1.0083566608412338
Grapevine,TX,2006,A1,2015-09-30,10886,1710.0,6984,13402.0,13955,52881.0,47139.0,6593130.0,10409574.0,44072.0,13080.0,13766.0,0.0,139680.0,176133.0,71932.0,-21047.0,227018.0,1381.0,133212.0,120922.0,12290.0,15323.0,231805.0,6802.0,50768,143463.0,8,0.2534369622359638,2.0640879787637467,262263.0,0.05842608374036749,-0.09225895564964118,0.01036693390985797,2.751339426410337,0.3644663502092258,214481.0,0.8212056079559494
Grapevine,TX,2006,A1,2020-09-30,3100,1876.0,6640,10252.0,11574,54656.0,57264.0,9778084.0,14847833.0,19445.0,10665.0,11540.0,0.0,152076.0,279795.0,69120.0,-76423.0,272492.0,3576.0,125635.0,140614.0,-14979.0,-2357.0,303673.0,8672.0,55215,168631.0,8,0.1875731850117096,0.6507136859781696,227018.0,-0.010382436634980487,0.11922633024236877,0.028463405898037968,2.754251562075523,0.13828637262292517,176133.0,1.5885438844509547
Grapevine,TX,2006,A1,2019-09-30,6938,1700.0,7305,12186.0,14295,60208.0,53845.0,9006397.0,13766882.0,24955.0,11909.0,12759.0,0.0,164442.0,241514.0,95251.0,-61220.0,275545.0,993.0,147182.0,140492.0,6690.0,36871.0,286476.0,10894.0,53762,168552.0,8,0.20239835237842146,1.2378233719892953,272492.0,0.13531039443359805,-0.045453927790083025,0.00674674892310201,3.058703173245043,0.17762577228596646,279795.0,0.8631819725155918
Grapevine,TX,2006,A1,2018-09-30,8720,1592.0,6398,12851.0,15555,58094.0,52644.0,8358123.0,12945066.0,35497.0,11626.0,12446.0,0.0,153231.0,226572.0,80078.0,-68706.0,237944.0,2200.0,140229.0,142764.0,-2535.0,5492.0,271782.0,7341.0,53935,168391.0,8,0.2212104520260268,1.8143986683312525,275545.0,0.019931408662831843,0.018077573112551613,0.015688623608526055,2.841030870492259,0.24864111400633213,241514.0,0.9381319509428024
Grapevine,TX,2006,A1,2016-09-30,6787,1669.0,7045,12753.0,13533,56206.0,49963.0,6873165.0,10747271.0,22416.0,12147.0,12845.0,0.0,133028.0,176591.0,78219.0,-14044.0,240766.0,383.0,140876.0,134513.0,6363.0,13748.0,244144.0,9588.0,51424,158267.0,8,0.22689748425435008,1.2624627976190477,237944.0,0.05777830077665333,-0.04516738124307902,0.0027187029728271673,2.586885500933416,0.1666456030272167,226572.0,0.7794034567378141
Greenville,NC,2006,Aa3,2021-06-30,22775,0.0,7013,14764.0,26674,82472.0,71062.0,7921024.0,7921024.0,5420.0,1523.0,4157.0,0.0,29439.0,190464.0,35984.0,-24994.0,201454.0,7804.0,91744.0,97594.0,-5850.0,8476.0,11330.0,1113.0,87521,360764.0,9,0.17901833349500437,3.2475402823328103,192977.0,0.04392233271322489,0.06376438786187652,0.08506278339727939,0.33636498668890896,0.05553620099596287,181844.0,1.0474032687358394
Greenville,NC,2006,Aa3,2018-06-30,19799,0.0,5675,12048.0,22899,75042.0,71000.0,6585089.0,6585089.0,5660.0,1160.0,4292.0,0.0,32792.0,159151.0,17841.0,-3244.0,173748.0,3351.0,78725.0,88079.0,-9354.0,7917.0,8184.0,601.0,91951,337819.0,9,0.16055009194850883,3.4888105726872247,201454.0,0.03929929413166281,0.11881867259447444,0.042565893934582405,0.35662472403780276,0.06426049342067916,190464.0,0.8355962281586021
Greenville,NC,2006,Aa3,2017-06-30,28281,0.0,6057,20158.0,31421,74106.0,67866.0,6498677.0,6498677.0,5110.0,1166.0,4315.0,0.0,37309.0,160375.0,12022.0,23715.0,196112.0,3675.0,79296.0,90414.0,-11118.0,1679.0,7771.0,547.0,90944,333782.0,9,0.27201576120691984,4.6691431401684005,173748.0,0.009663420586136243,0.1402088377723971,0.04634533898305085,0.4102414672765658,0.05651779591656159,159151.0,1.0076908093571513
Greenville,NC,2006,Aa3,2019-06-30,18299,0.0,6563,11727.0,23953,78121.0,71417.0,6852252.0,6852252.0,5315.0,1148.0,4440.0,0.0,29278.0,171216.0,21506.0,-5770.0,186952.0,3017.0,87527.0,89293.0,-1766.0,13205.0,7938.0,529.0,92653,346537.0,9,0.15011328580023298,2.788206612829499,196112.0,0.06733397242392103,0.020176631210940623,0.03446936373918905,0.3159962440503815,0.059523142911538415,160375.0,1.067597817614965
Killeen,TX,2006,Aa3,2016-09-30,14644,77.0,7392,17437.0,17655,67178.0,78322.0,5175292.0,6036160.0,16116.0,8010.0,8010.0,0.0,200271.0,52005.0,3438.0,-52098.0,3574.0,5451.0,87513.0,112385.0,-24872.0,-5576.0,261402.0,12884.0,140300,169536.0,9,0.2595641430230135,2.001913875598086,27465.0,-0.20302202803568178,0.2842092032040954,0.06228788865654246,1.427448325017819,0.14339991991813855,48084.0,1.0815447966059395
Killeen,TX,2006,Aa3,2015-09-30,15043,268.0,5184,17508.0,18129,67380.0,78585.0,5019548.0,5783658.0,14610.0,8200.0,8266.0,0.0,202893.0,55016.0,5961.0,-51826.0,9151.0,4221.0,81309.0,109276.0,-27967.0,-12287.0,245357.0,5776.0,137707,165446.0,9,0.25983971504897596,3.060008136696501,3574.0,-3.4378847229994403,0.3439594632820475,0.05191307235361399,1.4733673669457616,0.1336981587905853,52005.0,1.0578982790116336
Killeen,TX,2006,Aa3,2020-09-30,17065,33.0,6355,22617.0,22905,86085.0,77239.0,6461868.0,8031992.0,17749.0,11640.0,11955.0,0.0,163539.0,51522.0,32961.0,-70220.0,14263.0,10473.0,106965.0,112204.0,-5239.0,6232.0,318893.0,11437.0,151805,174763.0,9,0.26272869837950863,2.699304017715913,9151.0,0.6810184679270025,0.048978637872201185,0.09791053148226055,1.0772965317347913,0.15818509144059034,55016.0,0.9364912025592554
Killeen,TX,2006,Aa3,2018-09-30,19837,69.0,5867,21627.0,22315,71731.0,76891.0,5750657.0,6918010.0,17039.0,9120.0,9543.0,0.0,182644.0,52469.0,17744.0,-29100.0,41113.0,5066.0,102942.0,99413.0,3529.0,16997.0,240549.0,6280.0,145291,155746.0,9,0.30150144289080033,3.421352190410486,14263.0,1.1916847787982894,-0.03428144003419401,0.04921217773114958,1.2570909416274925,0.1713960950781085,51522.0,1.0183804976514887
Killeen,TX,2006,Aa3,2019-09-30,17854,13.0,5719,19929.0,20290,75015.0,74793.0,5834474.0,7177133.0,17145.0,9490.0,9973.0,0.0,171756.0,58430.0,21358.0,-71757.0,8031.0,4069.0,93964.0,142374.0,-48410.0,-33018.0,301223.0,56975.0,148837,212869.0,9,0.26566686662667466,3.128987031195233,41113.0,-0.8031036411840538,0.515197309607935,0.0433038184836746,1.1539872477945672,0.12042226811075056,52469.0,1.1136099411080829
Leander,TX,2006,Baa1,2015-09-30,12593,0.0,4333,7261.0,10313,24981.0,22897.0,2475646.0,2699590.0,5808.0,3850.0,3930.0,0.0,69661.0,75165.0,2730.0,28828.0,106723.0,406.0,31422.0,28334.0,3088.0,27178.0,21891.0,1253.0,35276,48378.0,5,0.29066090228573715,2.9063004846526654,212219.0,0.12806581880039017,-0.0982750938832665,0.012920883457450193,1.9747420342442454,0.20498341215500812,191235.0,0.39305043532826106
Leander,TX,2006,Baa1,2019-09-30,19594,0.0,5986,13410.0,16665,40621.0,38482.0,5401792.0,5814941.0,13335.0,9001.0,9084.0,0.0,146803.0,228047.0,8537.0,10082.0,246666.0,598.0,58376.0,57012.0,1364.0,33720.0,38400.0,2893.0,55957,83384.0,5,0.33012481228921003,3.273304376879385,106723.0,0.31595813461015904,-0.023365766753460325,0.01024393586405372,2.6234966134710582,0.23389812671016627,75165.0,3.033951972327546
Leander,TX,2006,Baa1,2016-09-30,12929,0.0,3973,9016.0,11380,28730.0,25983.0,3024262.0,3291433.0,6843.0,5018.0,5098.0,0.0,64556.0,140842.0,4497.0,7590.0,152929.0,208.0,37255.0,33867.0,3388.0,46206.0,25506.0,1935.0,39016,57499.0,5,0.31381830838844416,3.2542159577145733,246666.0,0.18732212789764296,-0.09094081331364917,0.005583143202254731,1.6546032396965347,0.20205509788289486,228047.0,0.6176007577385364
Leander,TX,2006,Baa1,2017-09-30,17349,0.0,4710,14345.0,15199,33228.0,30561.0,3666663.0,3955419.0,8454.0,6528.0,6610.0,0.0,92055.0,168514.0,5563.0,10212.0,184289.0,435.0,42725.0,40949.0,1776.0,31360.0,29142.0,2255.0,43785,69721.0,5,0.4317142169254845,3.68343949044586,152929.0,0.2050624799743672,-0.04156816851960211,0.010181392627267407,2.102432339842412,0.20645192800800996,140842.0,1.196475483165533
Leander,TX,2006,Baa1,2020-09-30,24732,0.0,7976,16957.0,20668,44599.0,39163.0,6237383.0,6686294.0,14814.0,9050.0,9050.0,0.0,136687.0,250592.0,9658.0,14950.0,275200.0,1002.0,64670.0,60639.0,4031.0,28535.0,44327.0,2850.0,62715,89315.0,5,0.3802103186170093,3.100802407221665,184289.0,0.15483832458801122,-0.06233183856502242,0.015494046698623783,2.179494538786574,0.24429822391530204,168514.0,1.487069323617029
Lubbock,TX,2006,A1,2018-09-30,41016,255.0,11919,47964.0,53093,173148.0,189457.0,16841610.0,17409762.0,58118.0,36033.0,37980.0,0.0,349368.0,152969.0,22596.0,-159997.0,15568.0,6447.0,228434.0,259816.0,-31382.0,23901.0,985720.0,32380.0,254654,620746.0,8,0.2770115739136461,3.516460905349794,27297.0,0.8755907242554127,0.1373788490329811,0.02822259383454302,1.3719321118066081,0.22368907226652707,107639.0,1.4211298878659222
Lubbock,TX,2006,A1,2020-09-30,63478,269.0,14134,71555.0,74949,218800.0,184735.0,18655937.0,19454841.0,52858.0,35907.0,36614.0,0.0,340740.0,221288.0,27866.0,-160126.0,89028.0,22554.0,297554.0,278994.0,18560.0,42283.0,1048898.0,25991.0,259344,640991.0,8,0.3270338208409506,4.578290659935089,15568.0,2.716020041109969,-0.062375232730865655,0.07579800641228147,1.3138534147695724,0.18945927152555253,152969.0,1.446619903379116
Lubbock,TX,2006,A1,2019-09-30,46286,255.0,13150,55265.0,55626,185756.0,191041.0,17637866.0,18264340.0,53532.0,34379.0,35812.0,0.0,367586.0,186559.0,26958.0,-166772.0,46745.0,7411.0,253452.0,285255.0,-31803.0,31177.0,1015383.0,44497.0,256845,631370.0,8,0.2975139430220289,3.5894532764637455,89028.0,0.3501931976456845,0.12547938071114056,0.02924025061944668,1.431158870135685,0.18766366934847767,221288.0,0.8430597230758107
Lubbock,TX,2006,A1,2015-09-30,32635,70.0,9471,39072.0,39191,133290.0,154063.0,14101576.0,14616171.0,38115.0,22233.0,27529.0,0.0,312914.0,94271.0,15158.0,-76919.0,32510.0,6213.0,182036.0,217953.0,-35917.0,13115.0,874393.0,23726.0,244469,577999.0,8,0.29313526896241276,3.4714392085948305,46745.0,0.2805647662851642,0.19730712606297657,0.034130611527390185,1.2799741480514912,0.17487715241359375,186559.0,0.5053146725700717
Lubbock,TX,2006,A1,2017-09-30,31733,242.0,11247,37543.0,39629,138460.0,168012.0,15947988.0,16493841.0,47074.0,29643.0,32857.0,0.0,341797.0,126549.0,20190.0,-120441.0,26298.0,7241.0,197302.0,244122.0,-46820.0,-999.0,948840.0,41152.0,251567,620372.0,8,0.27114690163224037,2.883507496592458,32510.0,-0.030729006459550907,0.2373011930948495,0.036700084134980895,1.3586718448763153,0.19282981460089627,94271.0,1.342395858747653
San Juan,TX,2006,Baa2,2016-09-30,2143,0.0,1781,1830.0,1851,10105.0,13898.0,917220.0,986857.0,5825.0,645.0,901.0,0.0,17701.0,14854.0,6411.0,662.0,21927.0,585.0,13290.0,13636.0,-346.0,420.0,10449.0,152.0,36426,20376.0,4,0.18109846610588817,1.2032565974171814,26551.0,0.015818613234906406,0.026034612490594432,0.04401805869074492,0.48594410585845277,0.42717805808154885,12682.0,1.1712663617725911
San Juan,TX,2006,Baa2,2015-09-30,2069,15.0,1894,1507.0,1507,9686.0,10033.0,878235.0,940535.0,1782.0,1005.0,1171.0,0.0,14760.0,14403.0,3528.0,-6177.0,11754.0,0.0,12992.0,12980.0,12.0,-1261.0,9247.0,128.0,36126,19827.0,4,0.1555853809622135,1.1011176157530602,21927.0,-0.05750900716012222,-0.0009236453201970443,0.0,0.408570004982561,0.13728813559322034,14854.0,0.9696378079978457
San Juan,TX,2006,Baa2,2017-09-30,4481,15.0,2292,2531.0,3710,11035.0,11376.0,955364.0,1017018.0,8068.0,1210.0,1418.0,0.0,21791.0,12020.0,8959.0,3432.0,24411.0,550.0,14130.0,12343.0,1787.0,2485.0,11096.0,196.0,36573,19473.0,4,0.2293611236973267,1.9679402722880983,11754.0,0.2114173898247405,-0.1264685067232838,0.038924274593064405,0.5958220545210948,0.6536498420157174,14403.0,0.8345483579809762
San Juan,TX,2006,Baa2,2020-09-30,2081,51.0,2053,3633.0,4568,16129.0,14263.0,1127856.0,1381530.0,4264.0,1565.0,1678.0,0.0,25429.0,10163.0,14432.0,4994.0,29589.0,4531.0,19915.0,18378.0,1537.0,3037.0,14231.0,471.0,36873,21930.0,4,0.22524645049290098,1.0394605394605394,24411.0,0.12441112613166196,-0.07717800652774291,0.22751694702485564,0.6896374040625932,0.23201654151703124,12020.0,0.8455074875207986
San Juan,TX,2006,Baa2,2018-09-30,2162,17.0,1553,1174.0,2202,11062.0,13094.0,1026748.0,1278902.0,2144.0,1210.0,1495.0,0.0,21252.0,14981.0,7853.0,3272.0,26106.0,602.0,14113.0,13621.0,492.0,1256.0,12043.0,221.0,36574,20888.0,4,0.10612909058036521,1.4075520833333333,29589.0,0.042448207103991345,-0.034861475235598384,0.042655707503719976,0.5810685186197846,0.15740400851626166,10163.0,1.474072616353439
Texarkana,TX,2006,A2,2015-09-30,9473,0.0,2602,10511.0,11543,31607.0,29278.0,2069886.0,2110798.0,5578.0,3470.0,3503.0,0.0,46024.0,85106.0,4278.0,4979.0,94363.0,1515.0,40631.0,38043.0,2588.0,2607.0,148020.0,3322.0,36778,53779.0,7,0.3325529154934034,3.6406610299769406,98268.0,0.02652949078031506,-0.06369520809234329,0.03728680071866309,1.2514002936538149,0.14662355755329495,86912.0,0.9792203608247423
Texarkana,TX,2006,A2,2016-09-30,10717,0.0,2140,12003.0,12909,32519.0,31001.0,2104697.0,2147804.0,5495.0,3415.0,3610.0,0.0,43220.0,85391.0,4343.0,4051.0,93785.0,1628.0,39895.0,40492.0,-597.0,-578.0,152650.0,5090.0,36658,56227.0,7,0.3691072911221132,5.007943925233645,94363.0,-0.006125282155081971,0.014964281238250407,0.0408071186865522,1.179005946860167,0.13570581843327076,85106.0,1.0033487650694428
Texarkana,TX,2006,A2,2019-09-30,13294,0.0,2775,9846.0,15430,35788.0,32885.0,2605218.0,2684424.0,10036.0,3310.0,3531.0,0.0,42229.0,90172.0,6257.0,-291.0,96138.0,1387.0,43462.0,44951.0,-1489.0,-1641.0,170116.0,6365.0,36650,62547.0,7,0.27512015200625906,4.7906306306306305,93785.0,-0.017497467612091484,0.03425981317012563,0.03191293543785376,1.1522237380627558,0.22326533336299526,85391.0,1.0559895070909113
Texarkana,TX,2006,A2,2020-09-30,14797,0.0,3800,10773.0,18885,35833.0,29327.0,2637458.0,2726820.0,5692.0,3605.0,3832.0,0.0,45581.0,91035.0,10971.0,-2783.0,99223.0,4423.0,46476.0,42756.0,3720.0,3085.0,177443.0,4556.0,36309,63383.0,7,0.3006446571596015,3.8939473684210526,96138.0,0.03208928831471426,-0.08004131164471985,0.09516739822704191,1.2553636839351126,0.13312751426700345,90172.0,1.0095705984119239
Texarkana,TX,2006,A2,2018-09-30,16525,0.0,1842,8656.0,18684,34360.0,34666.0,2556402.0,2632236.0,5894.0,4035.0,4260.0,0.0,49869.0,88594.0,8726.0,459.0,97779.0,2695.0,44929.0,44163.0,766.0,6785.0,165263.0,4066.0,36824,60336.0,7,0.2519208381839348,8.971226927252985,99223.0,0.06838132287876802,-0.01704912194796234,0.059983529568875336,1.3542526613078427,0.13346013631320336,91035.0,0.973186137199978
West Jordan,UT,2006,Aa3,2016-06-30,4798,98.0,17767,9425.0,16987,50161.0,47377.0,5423197.0,5423197.0,3801.0,625.0,3084.0,0.0,19182.0,269724.0,18571.0,15756.0,304051.0,4228.0,57963.0,61176.0,-3213.0,2013.0,0.0,0.0,111348,93518.0,9,0.18789497817029166,0.2715490406927387,302538.0,0.006653709616643198,0.055431913462036124,0.07294308438141574,0.17227071882745987,0.06213220870929776,259059.0,1.041168228087038
West Jordan,UT,2006,Aa3,2019-06-30,4286,74.0,23320,12053.0,12535,54404.0,52363.0,7118902.0,7118902.0,4724.0,655.0,4444.0,0.0,37231.0,294646.0,21247.0,25973.0,341866.0,6161.0,70256.0,72866.0,-2610.0,11136.0,0.0,0.0,115653,112622.0,9,0.22154620983751194,0.18437580659038114,304051.0,0.036625434548809246,0.03714985196993851,0.08769357777271693,0.32191988102340624,0.06483133422995636,269724.0,1.0923981551511917
West Jordan,UT,2006,Aa3,2020-06-30,1868,0.0,30362,11606.0,11612,62461.0,55623.0,7782489.0,7782489.0,7071.0,670.0,6656.0,0.0,33384.0,311651.0,22526.0,26612.0,360789.0,9195.0,81609.0,74519.0,7090.0,18923.0,0.0,0.0,116310,117242.0,9,0.18581194665471254,0.061524273763256705,341866.0,0.05535209702047001,-0.08687767280569544,0.11267139653714664,0.2870260510704153,0.09488855191293495,294646.0,1.0577133237851524
West Jordan,UT,2006,Aa3,2017-06-30,2324,43.0,17501,10692.0,16838,51679.0,47434.0,5830972.0,5830972.0,3818.0,635.0,3084.0,0.0,43017.0,267165.0,43554.0,14999.0,325718.0,4469.0,59675.0,62658.0,-2983.0,21010.0,0.0,0.0,113404,98422.0,9,0.2068925482304224,0.13311948676824378,360789.0,0.058233482728131954,0.04998743192291579,0.07488898198575618,0.37932524425946174,0.06093395895176992,311651.0,0.8572569958062063
West Jordan,UT,2006,Aa3,2021-06-30,12349,317.0,29038,20928.0,21732,69717.0,57241.0,8475346.0,8475346.0,6964.0,680.0,3621.0,0.0,29548.0,328913.0,26193.0,46710.0,401816.0,11707.0,86505.0,68041.0,18464.0,37851.0,0.0,0.0,116961,112102.0,9,0.3001850337794225,0.42996413773893666,325718.0,0.11620788534867585,-0.21344430957748106,0.13533321773307902,0.2526312189533263,0.10235005364412633,267165.0,1.2311230887279396
West Jordan,UT,2006,Aa3,2018-06-30,2858,52.0,20983,11345.0,16553,53635.0,49690.0,6451596.0,6451596.0,4003.0,645.0,4299.0,0.0,41798.0,289376.0,30655.0,10699.0,330730.0,4557.0,64803.0,72163.0,-7360.0,5013.0,0.0,0.0,114018,108622.0,9,0.21152232683881794,0.13654388227987196,401816.0,0.012475859597427679,0.11357498881224634,0.0703208184806259,0.3665912399796523,0.055471640591438824,328913.0,0.879794960977523
Brockton,MA,2007,A2,2021-06-30,92694,0.0,51415,34746.0,85779,451230.0,438075.0,9153272.0,9153272.0,12621.0,8659.0,8659.0,15368.0,85605.0,165226.0,60468.0,-1082646.0,-856952.0,317979.0,525903.0,567783.0,-41880.0,-39089.0,0.0,0.0,105643,618303.0,7,0.07700285885246992,1.80285908781484,-729112.0,0.05361179078111456,0.07963445730486421,0.6046343146930138,0.8103234478384749,0.02222856267271123,162223.0,1.0185115550815853
Brockton,MA,2007,A2,2020-06-30,92766,0.0,50255,26403.0,72876,432691.0,426630.0,8426282.0,8426282.0,13064.0,7898.0,7898.0,4716.0,90923.0,180215.0,60319.0,-1058124.0,-817590.0,287921.0,488049.0,537709.0,-49660.0,-42247.0,0.0,0.0,95813,583923.0,7,0.061020451084029946,1.845905880011939,-856952.0,0.049299143942717914,0.10175207817247858,0.5899428131191745,0.9489630843413733,0.024295669218852577,165226.0,1.0907181678428335
Brockton,MA,2007,A2,2016-06-30,85176,0.0,45965,22345.0,74546,371093.0,368621.0,6104304.0,6104304.0,19195.0,8256.0,8256.0,6600.0,104485.0,158611.0,44990.0,-435253.0,-231652.0,241992.0,417596.0,452106.0,-34510.0,-28457.0,0.0,0.0,95494,496228.0,7,0.06021401643253847,1.8530621124768847,-817590.0,0.03480595408456561,0.08263968045670936,0.5794883092749931,1.0941525121997193,0.04245685746263045,180215.0,0.8801209666232
Brockton,MA,2007,A2,2017-06-30,87617,0.0,39228,29119.0,80369,391582.0,387885.0,6688597.0,6688597.0,13785.0,6072.0,6072.0,11748.0,98413.0,159784.0,48794.0,-474796.0,-266218.0,256525.0,436473.0,475611.0,-39138.0,-34565.0,0.0,0.0,95532,519633.0,7,0.0743624579270753,2.233532170898338,-231652.0,0.14921088529345744,0.08966877676282382,0.587722493716679,1.0301574341581878,0.028983770350139083,158611.0,1.0073954517656405
Brockton,MA,2007,A2,2019-06-30,76365,0.0,48990,23881.0,67497,409289.0,423612.0,7843495.0,7843495.0,12364.0,8146.0,8146.0,2539.0,98557.0,169172.0,52807.0,-997322.0,-775343.0,265478.0,461862.0,515983.0,-54121.0,-46231.0,0.0,0.0,95817,561575.0,7,0.05834752460975008,1.5587875076546234,-266218.0,0.1736584303089949,0.11718002347021404,0.5747993989546661,1.0285961781312294,0.023962029756794314,159784.0,1.0587543183297452
Brockton,MA,2007,A2,2015-06-30,78396,0.0,51317,22027.0,64703,346829.0,346498.0,5462968.0,5462968.0,12752.0,7537.0,7537.0,0.0,112614.0,159815.0,37058.0,-394145.0,-197272.0,229297.0,395112.0,420208.0,-25096.0,-21903.0,0.0,0.0,94884,462926.0,7,0.06350968344630928,1.5276808854765478,-775343.0,0.02824943283166289,0.06351616756767701,0.580334183725121,1.1868597445301632,0.03034687583292084,169172.0,0.9446894285106282
Celina,TX,2007,Baa1,2020-09-30,11586,913.0,4388,8860.0,8866,21625.0,17898.0,1866518.0,2663198.0,4969.0,2922.0,3009.0,0.0,58048.0,51424.0,4925.0,25553.0,81902.0,2765.0,34746.0,27047.0,7699.0,26323.0,8960.0,726.0,16383,44235.0,5,0.40971098265895955,3.3341007194244603,30608.0,0.8600039205436487,-0.22157946238415932,0.07957750532435388,3.543185008850638,0.183717232964839,13185.0,3.9001896094046264
Celina,TX,2007,Baa1,2016-09-30,8238,101.0,1551,7130.0,7132,8295.0,8035.0,660868.0,1083166.0,1565.0,1006.0,1006.0,0.0,21822.0,13139.0,5340.0,7894.0,26373.0,369.0,10926.0,9173.0,1753.0,6679.0,4134.0,286.0,8059,17682.0,5,0.8595539481615431,5.681379310344828,81902.0,0.08154868012991136,-0.1604429800475929,0.03377265238879736,2.7077801216031765,0.17060939714379156,51424.0,0.2555032669570628
Celina,TX,2007,Baa1,2018-09-30,10257,14.0,1859,8904.0,8911,14308.0,11946.0,1108102.0,1805544.0,2490.0,2126.0,2126.0,0.0,45630.0,32377.0,6361.0,10219.0,48957.0,202.0,18717.0,19789.0,-1072.0,18386.0,5970.0,395.0,10190,32676.0,5,0.6223091976516634,5.559349593495935,26373.0,0.6971523907026125,0.05727413581236309,0.010792327830314688,4.4779195289499505,0.12582747991308302,13139.0,2.4641905776695334
Celina,TX,2007,Baa1,2019-09-30,11653,47.0,1517,11112.0,11127,17196.0,15516.0,1504564.0,2318097.0,4180.0,3126.0,3209.0,0.0,61058.0,20672.0,3980.0,30928.0,55580.0,1291.0,26778.0,20728.0,6050.0,6758.0,7334.0,655.0,12805,35539.0,5,0.6461967899511515,7.927210884353742,48957.0,0.13803950405457852,-0.2259317350063485,0.04821121816416461,4.768293635298711,0.20165959089154767,32377.0,0.638477931865213
Central Falls,RI,2007,Baa3,2019-06-30,1016,507.0,6325,-1836.0,2161,20576.0,19984.0,477453.0,527199.0,2320.0,1050.0,1050.0,0.0,7615.0,11303.0,4872.0,-37208.0,-21033.0,599.0,21674.0,23469.0,-1795.0,-238.0,44373.0,2925.0,19441,23469.0,3,-0.08923017107309487,0.17463045720178755,-23824.0,0.009989926124916051,0.08281812309679801,0.027636799852357664,0.3916979579239751,0.09885380714985725,2395.0,4.719415448851774
